Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	PolicyLossBeforeUpdate	PolicyLossAfterUpdate
1.5360920429229736	0	3.7111111111111112	2.074060846518667	14.0	1.0	3.7111111111111112	2.074060846518667	1002	1002	-0.21092653	-0.30173767
2.130527973175049	1	4.1020408163265305	2.812834273716682	24.0	1.0	4.1020408163265305	2.812834273716682	1005	2007	-0.17214341	-0.2471247
2.644890069961548	2	5.035	3.3262253381272893	20.0	1.0	5.035	3.3262253381272893	1007	3014	-0.18614328	-0.22996329
3.1402599811553955	3	5.976190476190476	4.35063265918273	24.0	1.0	5.976190476190476	4.35063265918273	1004	4018	-0.17087802	-0.1937159
3.68462872505188	4	6.078787878787879	4.314862094482109	28.0	2.0	6.078787878787879	4.314862094482109	1003	5021	-0.15235817	-0.17033234
4.138954401016235	5	6.407643312101911	3.916249691155351	26.0	1.0	6.407643312101911	3.916249691155351	1006	6027	-0.11733153	-0.121122226
4.655320405960083	6	6.938356164383562	4.654093209119724	21.0	1.0	6.938356164383562	4.654093209119724	1013	7040	-0.1398541	-0.15695329
5.127668619155884	7	7.25	4.375459159578895	23.0	2.0	7.25	4.375459159578895	1015	8055	-0.13070437	-0.14441623
5.5599610805511475	8	7.659090909090909	5.39616803635543	33.0	1.0	7.659090909090909	5.39616803635543	1011	9066	-0.122279815	-0.1381259
6.030306339263916	9	7.9609375	5.603294711247459	29.0	2.0	7.9609375	5.603294711247459	1019	10085	-0.11810886	-0.13808414
6.437584638595581	10	9.383177570093459	6.629930519100108	33.0	2.0	9.383177570093459	6.629930519100108	1004	11089	-0.08662868	-0.10205031
6.850879907608032	11	12.08433734939759	8.581578504047792	43.0	2.0	12.08433734939759	8.581578504047792	1003	12092	-0.05566934	-0.081038214
7.278183460235596	12	10.742268041237113	7.2157878887886495	42.0	2.0	10.742268041237113	7.2157878887886495	1042	13134	-0.17121543	-0.18752636
7.702484846115112	13	12.833333333333334	7.497720451297978	37.0	3.0	12.833333333333334	7.497720451297978	1001	14135	-0.09105639	-0.110746995
8.108773469924927	14	17.57894736842105	13.271718206589705	59.0	2.0	17.57894736842105	13.271718206589705	1002	15137	-0.108532004	-0.11372425
8.491058588027954	15	15.6875	11.495753291976998	52.0	2.0	15.6875	11.495753291976998	1004	16141	-0.112394504	-0.13719495
8.88133192062378	16	20.56	13.131884860902488	67.0	2.0	20.56	13.131884860902488	1028	17169	-0.075466916	-0.09681231
9.264594554901123	17	21.375	13.076099380166855	59.0	3.0	21.375	13.076099380166855	1026	18195	-0.0691174	-0.07662445
9.644873857498169	18	25.075	12.63207722427313	61.0	6.0	25.075	12.63207722427313	1003	19198	-0.0221447	-0.03386891
10.022132873535156	19	24.658536585365855	10.798847626183989	48.0	3.0	24.658536585365855	10.798847626183989	1011	20209	-0.047225732	-0.06252238
10.39940094947815	20	27.7027027027027	12.554454070955153	63.0	7.0	27.7027027027027	12.554454070955153	1025	21234	-0.0612008	-0.079080984
10.785675764083862	21	29.62857142857143	11.329066823972786	54.0	6.0	29.62857142857143	11.329066823972786	1037	22271	-0.02655168	-0.03925065
11.144944906234741	22	40.36	17.209020890219175	82.0	5.0	40.36	17.209020890219175	1009	23280	-0.040267	-0.04313454
11.545224905014038	23	45.791666666666664	22.40345800441431	127.0	6.0	45.791666666666664	22.40345800441431	1099	24379	0.0040721917	-0.0052431608
